date/location,latitude,longitude,region
"10/4 - 10/5,FLRUNNERS.COM INVITATIONAL,Lakeland, FL,3050 Lakeland Highlands Road, Lakeland, FL 33803",45.80845,9.0803,US
"10/4 - 10/5,Great American XC Festival,Cary, NC,101 Soccer Park Dr, Cary, NC 27511",35.78424,-78.75543,US
"4-Oct,Region 8 Championships,Orem, UT,581 165 S, Orem, UT 84058",40.29862,-111.69698,US
"5-Oct,Alaska (ASAA) State Championships,Anchorage, AK,1101 Golden Bear Dr, Anchorage, AK 99504",61.23276,-149.73527,US
"5-Oct,Alexander / Asics Invitational,Fairburn, GA,9445 Browns Lake Rd., Fairburn, GA 3021",33.63119,-84.72075,US
"5-Oct,Shore Coaches Invitational,Holmdel, NJ,44 Longstreet Road, Holmdel, NJ 0",40.36951,-74.18255,US
"8-Oct,Region 9 Championships,St. George, UT,Bloomington Hills North Park",39.22388,-86.5171,US
"9-Oct,Region 1 Championship,Layton, UT,437 N Wasatch Dr, Layton, UT 84041",41.06626,-111.95732,US
"10-Oct,Lake Conference Championships,Minnetrista, MN,7210 County Rd 110 W, Minnetrista, MN 55364",44.92454,-93.70905,US
"10-Oct,Woodland Invitational,Marble Hill, MO,Jackal Drive Marble Hill, MO 63764",44.28658,-77.45233,US
"10/11 - 10/12,FSU Invitational (Pre-State),Tallahassee, FL,7550 Apalachee Pkwy, Tallahassee, FL 32311",30.41874,-84.15122,US
"12-Oct,V-V-S Invitational,Verona, NY,5275 NY-31, Verona, NY 13478",43.11588,-75.56873,US
"13-Oct,Manhattan College Invitational,Bronx, NY,West 242nd Street & Broadway, Bronx, NY 10471",40.87312,-73.9117,US
"18-Oct,GMC Championships,West Allis, WI,2028 S. 124 Street, West Allis, WI 53227�",43.00775,-88.02012,US
"19-Oct,Section 1 Coaches Invitational,Woodlands, NY,475 W Hartsdale Ave, Hartsdale, NY 10530",41.018526,-73.79778,US
